3cpio	0.14.0-1ubuntu1
libzstd1:amd64	1.5.7+dfsg-3
linux-base	4.15ubuntu5
linux-firmware	20260319.git217ca6e4.1ubuntu
linux-firmware-amd-graphics	20260319.git217ca6e4-0ubuntu3.1
linux-firmware-amd-misc	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-broadcom-wireless	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-intel-graphics	20260319.git217ca6e4-0ubuntu2.1
linux-firmware-intel-misc	20260319.git217ca6e4-0ubuntu1.2
linux-firmware-intel-wireless	20260319.git217ca6e4-0ubuntu2.1
linux-firmware-marvell-prestera	20260319.git217ca6e4-0ubuntu1.2
linux-firmware-marvell-wireless	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-mediatek	20260319.git217ca6e4-0ubuntu1.2
linux-firmware-mellanox-spectrum	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-misc	20260319.git217ca6e4-0ubuntu2.2
linux-firmware-netronome	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-nvidia-graphics	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-qlogic	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-qualcomm-graphics	20260319.git217ca6e4-0ubuntu1.1
linux-firmware-qualcomm-misc	20260319.git217ca6e4-0ubuntu2.1
linux-firmware-qualcomm-wireless	20260319.git217ca6e4-0ubuntu1.2
linux-firmware-realtek	20260319.git217ca6e4-0ubuntu1.2
linux-generic	7.0.0-30.30
linux-headers-7.0.0-29	7.0.0-29.29
linux-headers-7.0.0-29-generic	7.0.0-29.29
linux-headers-7.0.0-30	7.0.0-30.30
linux-headers-7.0.0-30-generic	7.0.0-30.30
linux-headers-generic	7.0.0-30.30
linux-image-7.0.0-27-generic	7.0.0-27.27
linux-image-7.0.0-28-generic	7.0.0-28.28
linux-image-7.0.0-29-generic	7.0.0-29.29
linux-image-7.0.0-30-generic	7.0.0-30.30
linux-image-generic	7.0.0-30.30
linux-image-unsigned-7.0.0-14-generic	7.0.0-14.14
linux-libc-dev:amd64	7.0.0-30.30
linux-main-modules-zfs-7.0.0-14-generic	7.0.0-14.14+3
linux-main-modules-zfs-7.0.0-27-generic	7.0.0-27.27
linux-main-modules-zfs-7.0.0-28-generic	7.0.0-28.28+1
linux-main-modules-zfs-7.0.0-29-generic	7.0.0-29.29
linux-main-modules-zfs-7.0.0-30-generic	7.0.0-30.30
linux-modules-7.0.0-14-generic	7.0.0-14.14
linux-modules-7.0.0-27-generic	7.0.0-27.27
linux-modules-7.0.0-28-generic	7.0.0-28.28
linux-modules-7.0.0-29-generic	7.0.0-29.29
linux-modules-7.0.0-30-generic	7.0.0-30.30
linux-perf	7.0.0-30.30
linux-sysctl-defaults	4.15ubuntu5
linux-tools-7.0.0-29	7.0.0-29.29
linux-tools-7.0.0-29-generic	7.0.0-29.29
linux-tools-7.0.0-30	7.0.0-30.30
linux-tools-7.0.0-30-generic	7.0.0-30.30
linux-tools-common	7.0.0-30.30
locales	2.43-2ubuntu2.3
login	1:4.16.0-2+really2.41.3-3ubuntu2
